Time,Fila Max,Ocupacao,E[N],E[W],Lambda,Erro de Little
28100.000000,31,0.797384,3.863969,-0.571333,1.985409,4.998298
28200.000000,31,0.797730,3.874709,-0.560523,1.985816,4.987804
28300.000000,31,0.797675,3.872041,-0.657368,1.985689,5.177369
28400.000000,31,0.797573,3.868889,-0.440065,1.985528,4.742649
28500.000000,31,0.797831,3.871382,-0.284306,1.985754,4.435943
28600.000000,31,0.797879,3.872473,-0.260332,1.985979,4.389487
28700.000000,31,0.797628,3.867706,-0.367688,1.986167,4.597995
28800.000000,31,0.797997,3.875010,-0.326359,1.986493,4.523320
28900.000000,31,0.797963,3.871848,0.508734,1.987128,2.860930
29000.000000,31,0.797867,3.865962,0.636400,1.987621,2.601041
29100.000000,31,0.797243,3.856948,0.505829,1.986701,2.852017
29200.000000,31,0.796694,3.849965,0.500427,1.986199,2.856017
29300.000000,31,0.797023,3.870749,0.548636,1.986485,2.780892
29400.000000,31,0.796904,3.878763,1.124488,1.986565,1.644894
29500.000000,31,0.797248,3.886487,0.971599,1.986475,1.956431
29600.000000,31,0.797470,3.894183,0.976094,1.987872,1.953834
29700.000000,31,0.797667,3.908309,0.970807,1.988114,1.978233
29800.000000,31,0.797604,3.907815,0.639021,1.987752,2.637599
29900.000000,31,0.797071,3.899648,0.807530,1.986789,2.295256
30000.000000,31,0.796883,3.894852,0.819762,1.987067,2.265931
30100.000000,31,0.797105,3.893447,0.878419,1.987375,2.147699
30200.000000,31,0.797343,3.904580,0.886583,1.987185,2.142775
30300.000000,31,0.796989,3.899252,0.887773,1.986568,2.135630
30400.000000,31,0.796459,3.892196,0.899840,1.985559,2.105510
30500.000000,31,0.796396,3.892815,0.881615,1.985443,2.142419
30600.000000,31,0.796640,3.894625,1.023516,1.985621,1.862310
30700.000000,31,0.796522,3.893818,0.697611,1.985081,2.509003
30800.000000,31,0.796176,3.887223,0.882717,1.984286,2.135661
30900.000000,31,0.796348,3.890311,0.736958,1.984951,2.427485
31000.000000,31,0.796152,3.887135,0.746122,1.984677,2.406324
31100.000000,31,0.796198,3.888159,0.831451,1.984920,2.237797
31200.000000,31,0.795834,3.883386,-0.556127,1.984615,4.987085
31300.000000,31,0.795651,3.881037,-0.449667,1.984952,4.773606
31400.000000,31,0.795910,3.879209,-0.041444,1.985223,3.961486
31500.000000,31,0.795970,3.876007,0.075946,1.985175,3.725242
31600.000000,31,0.796227,3.877641,-0.345177,1.985443,4.562970
31700.000000,31,0.796303,3.881065,-0.523773,1.986151,4.921356
31800.000000,31,0.796296,3.877407,-0.452761,1.986101,4.776635
31900.000000,31,0.796424,3.877046,-0.782051,1.986395,5.430508
32000.000000,31,0.796143,3.870714,-0.688121,1.986375,5.237581
32100.000000,31,0.796182,3.871136,-0.858842,1.986106,5.576887
32200.000000,31,0.796505,3.876476,-0.900528,1.986708,5.665562
32300.000000,31,0.795957,3.869013,-1.254290,1.985975,6.360001
32400.000000,31,0.795995,3.868677,-0.958077,1.985309,5.770755
32500.000000,31,0.796063,3.872169,-0.943742,1.985692,5.746150
32600.000000,31,0.796380,3.881154,-0.932808,1.986626,5.734293
32700.000000,31,0.796864,3.894370,-1.613099,1.986942,7.099503
32800.000000,31,0.796820,3.891478,-1.518745,1.987165,6.909474
32900.000000,31,0.797255,3.904756,-1.572611,1.987872,7.030906
33000.000000,31,0.796947,3.899662,-1.419633,1.987182,6.720731
33100.000000,31,0.796767,3.893680,-1.434406,1.986737,6.743468
33200.000000,31,0.796545,3.888562,-1.206954,1.986265,6.285892
33300.000000,31,0.796637,3.888234,-3.076698,1.986547,10.000238
33400.000000,31,0.796506,3.887255,-2.764702,1.986407,9.379080
33500.000000,31,0.795912,3.880015,-2.374858,1.985552,8.595419
33600.000000,31,0.796020,3.876870,-2.293271,1.985952,8.431197
33700.000000,31,0.795835,3.873554,-2.669302,1.985579,9.173663
33800.000000,31,0.795822,3.872607,-2.308388,1.985325,8.455509
33900.000000,31,0.795695,3.867426,-2.577224,1.985280,8.983939
34000.000000,31,0.795760,3.868551,-2.317595,1.985647,8.470476
34100.000000,31,0.795680,3.871352,-1.730003,1.985308,7.305940
34200.000000,31,0.796062,3.887224,-1.871483,1.985760,7.603540
34300.000000,31,0.796518,3.902457,-2.018885,1.986239,7.912446
34400.000000,31,0.796657,3.903490,-2.214358,1.986337,8.301952
34500.000000,31,0.796353,3.898318,-2.218589,1.986377,8.305271
34600.000000,31,0.796282,3.900092,-2.354442,1.986098,8.576244
34700.000000,31,0.796293,3.897840,-2.195789,1.986513,8.259803
34800.000000,31,0.795912,3.891732,-2.258615,1.986494,8.378457
34900.000000,31,0.795843,3.889521,-2.227698,1.985845,8.313385
35000.000000,31,0.796290,3.909092,-1.709487,1.986543,7.305061
35100.000000,31,0.796370,3.908944,-1.397635,1.986752,6.685699
35200.000000,31,0.796368,3.905628,-1.371285,1.986619,6.629849
35300.000000,31,0.796473,3.904453,-1.458003,1.986856,6.801295
35400.000000,31,0.796529,3.903968,-1.532647,1.987203,6.949649
35500.000000,31,0.796661,3.904536,-1.728152,1.986873,7.338155
35600.000000,31,0.796945,3.912281,-1.853386,1.986910,7.594793
35700.000000,31,0.797024,3.912611,-1.683388,1.987395,7.258168
35800.000000,31,0.797093,3.929619,-1.598544,1.987542,7.106791
35900.000000,43,0.797630,3.982817,-1.864294,1.987744,7.688556
36000.000000,43,0.797490,3.979968,-1.330077,1.987500,6.623496
36100.000000,43,0.797565,3.976105,-1.191897,1.987313,6.344777
36200.000000,43,0.797794,3.977663,-1.172200,1.987707,6.307654
36300.000000,43,0.797335,3.971070,-1.360720,1.986722,6.674443
36400.000000,43,0.797313,3.967149,-1.511660,1.986429,6.969953
36500.000000,43,0.797474,3.968897,-2.228712,1.986247,8.395669
